file_name,source_event,type,box_start_col,box_end_col,clipped
own-PeachMountian-240330-74.npy,burst-PeachMountian-240330-183117031-type3.npy,III,227,473,False
own-SkylineHighSchool-240417-80.npy,burst-SkylineHighSchool-240417-200328050-type5.npy,V,2076,3004,False
own-MarquetteSeniorHig-240419-64.npy,burst-MarquetteSeniorHig-240419-160543005-type3.npy,III,3430,3700,False
own-MarquetteSeniorHig-240419-64.npy,burst-MarquetteSeniorHig-240419-161353088-type3.npy,III,8331,9001,True
own-MarquetteSeniorHig-240419-65.npy,burst-MarquetteSeniorHig-240419-162703061-type3.npy,III,7230,8690,False
own-MarquetteSeniorHig-240419-66.npy,burst-MarquetteSeniorHig-240419-163215050-type3.npy,III,1350,6470,False
own-MarquetteSeniorHig-240419-67.npy,burst-MarquetteSeniorHig-240419-164832017-type3.npy,III,2120,5120,False
own-MarquetteSeniorHig-240419-67.npy,burst-MarquetteSeniorHig-240419-165928094-type3.npy,III,8681,8991,False
own-MarquetteSeniorHig-240419-68.npy,burst-MarquetteSeniorHig-240419-171022072-type3.npy,III,6220,9000,True
own-MarquetteSeniorHig-240419-69.npy,burst-MarquetteSeniorHig-240419-172728036-type3.npy,III,7480,9000,True
own-MarquetteSeniorHig-240419-72.npy,burst-MarquetteSeniorHig-240419-180157065-type3.npy,III,1170,4380,False
own-MarquetteSeniorHig-240419-75.npy,burst-MarquetteSeniorHig-240419-184647073-type3.npy,III,1070,3790,False
own-MarquetteSeniorHig-240419-76.npy,burst-MarquetteSeniorHig-240419-190930026-type3.npy,III,5700,5960,False
own-MarquetteSeniorHig-240419-77.npy,burst-MarquetteSeniorHig-240419-192208000-type3.npy,III,3800,5754,False
own-SkylineHighSchool-240420-62.npy,burst-SkylineHighSchool-240420-154415092-type3.npy,III,8530,8979,True
own-SkylineHighSchool-240420-65.npy,burst-SkylineHighSchool-240420-162057033-type3.npy,III,3561,3711,False
own-PeachMountian-240420-65.npy,burst-PeachMountian-240420-161514014-type3.npy,III,45,730,False
own-PeachMountian-240420-66.npy,burst-PeachMountian-240420-163623002-type5.npy,V,2519,3631,False
own-PeachMountian-240420-70.npy,burst-PeachMountian-240420-173737049-type3.npy,III,3000,3393,False
own-PeachMountian-240420-71.npy,burst-PeachMountian-240420-175321003-type3.npy,III,4966,5015,False
own-SkylineHighSchool-240422-65.npy,burst-SkylineHighSchool-240422-162440058-type3.npy,III,5720,6627,False
own-SkylineHighSchool-240422-69.npy,burst-SkylineHighSchool-240422-172820083-type3.npy,III,7890,8619,False
own-MarquetteSeniorHig-240422-63.npy,burst-MarquetteSeniorHig-240422-154510082-type3.npy,III,100,1247,False
own-MarquetteSeniorHig-240422-65.npy,burst-MarquetteSeniorHig-240422-162712033-type3.npy,III,7305,8153,False
own-MarquetteSeniorHig-240422-70.npy,burst-MarquetteSeniorHig-240422-173243063-type3.npy,III,1627,2395,False
own-SkylineHighSchool-240423-71.npy,burst-SkylineHighSchool-240423-175209085-type2.npy,II,4288,7486,False
own-SkylineHighSchool-240425-68.npy,burst-SkylineHighSchool-240425-171133005-type2.npy,II,6914,8242,False
own-SkylineHighSchool-240501-67.npy,burst-SkylineHighSchool-240501-165815000-type3.npy,III,7927,8974,True
own-SkylineHighSchool-240501-72.npy,burst-SkylineHighSchool-240501-181310067-type3.npy,III,7877,8974,True
own-SkylineHighSchool-240503-75.npy,burst-SkylineHighSchool-240503-185310068-type2.npy,II,4893,5372,False
own-SkylineHighSchool-240503-82.npy,burst-SkylineHighSchool-240503-203945005-type2.npy,II,5841,7000,False
own-SkylineHighSchool-240504-64.npy,burst-SkylineHighSchool-240504-160224025-type3.npy,III,1439,1539,False
own-SkylineHighSchool-240508-67.npy,burst-SkylineHighSchool-240508-165523022-type3.npy,III,6204,6394,False
own-SkylineHighSchool-240508-72.npy,burst-SkylineHighSchool-240508-181014037-type3.npy,III,6115,6185,False
own-SkylineHighSchool-240508-74.npy,burst-SkylineHighSchool-240508-183324006-type3.npy,III,2031,2300,False
own-SkylineHighSchool-240509-70.npy,burst-SkylineHighSchool-240509-173328071-type3.npy,III,2069,2725,False
own-Huron-240514-51.npy,burst-Huron-240514-124652093-type3.npy,III,1121,1701,False
own-SkylineHighSchool-240514-51.npy,burst-SkylineHighSchool-240514-124539093-type3.npy,III,390,1020,False
own-SkylineHighSchool-240514-67.npy,burst-SkylineHighSchool-240514-164650083-type3.npy,III,1100,1820,False
own-SkylineHighSchool-240514-67.npy,burst-SkylineHighSchool-240514-164953099-type2.npy,II,2930,4799,False
own-SkylineHighSchool-240514-68.npy,burst-SkylineHighSchool-240514-170701091-type2.npy,II,4210,5199,False
