file_name,status,notes,override_params_json,reviewed_at,manual_burst_range_json,problem_tags,auto_retry_done
ii0001-win-Australia-ASSA-20210419-233000.npy,usable,,,2026-08-15T23:27:40+00:00,"{""start_s"": 559.0, ""end_s"": 754.0}",,
ii0002-win-Australia-ASSA-20210518-021458.npy,usable,,,2026-08-15T23:27:47+00:00,,,
v0003-win-Australia-ASSA-20210521-050000.npy,usable,,,2026-08-15T23:27:59+00:00,"{""start_s"": 854.0, ""end_s"": 891.0}",,
ii0004-win-Australia-ASSA-20210522-024500.npy,usable,,,2026-08-15T23:28:11+00:00,"{""start_s"": 763.0, ""end_s"": 900.0}",,
ii0005-win-Australia-ASSA-20210522-030000.npy,usable,,,2026-08-15T23:28:35+00:00,"{""start_s"": 0.0, ""end_s"": 512.0}",,
ii0006-win-Australia-ASSA-20210528-225959.npy,usable,,,2026-08-15T23:28:46+00:00,"{""start_s"": 199.0, ""end_s"": 265.0}",,
v0007-win-Australia-ASSA-20210603-030000.npy,usable,,,2026-08-15T23:29:00+00:00,"{""start_s"": 522.0, ""end_s"": 549.0}",,
ii0008-win-Australia-ASSA-20210826-231506.npy,usable,,,2026-08-15T23:29:12+00:00,"{""start_s"": 360.0, ""end_s"": 496.0}",,
ii0009-win-Australia-ASSA-20210826-233006.npy,usable,,,2026-08-15T23:29:25+00:00,"{""start_s"": 510.0, ""end_s"": 791.0}",,
ii0010-win-Australia-ASSA-20210828-050002.npy,usable,,,2026-08-15T23:29:44+00:00,"{""start_s"": 158.0, ""end_s"": 726.0}",,
ii0011-win-Australia-ASSA-20210917-041501.npy,usable,,,2026-08-15T23:29:56+00:00,"{""start_s"": 130.0, ""end_s"": 631.0}",,
ii0012-win-Australia-ASSA-20210925-034501.npy,usable,,,2026-08-15T23:30:08+00:00,"{""start_s"": 21.0, ""end_s"": 355.0}",,
ii0013-win-Australia-ASSA-20211009-063000.npy,usable,,,2026-08-15T23:31:43+00:00,"{""start_s"": 264.0, ""end_s"": 900.0}",,
