file_name,status,notes,override_params_json,reviewed_at,manual_burst_range_json,problem_tags,auto_retry_done
gap0001-win-Arecibo-Observatory-20230505-184500.npy,usable,,,2026-08-15T02:13:10+00:00,"{""start_s"": 98.0, ""end_s"": 209.0}",,
gap0002-win-Arecibo-Observatory-20230715-141500.npy,usable,,,2026-08-15T02:13:23+00:00,"{""start_s"": 471.0, ""end_s"": 865.0}",,
gap0003-win-Arecibo-Observatory-20221012-141501.npy,usable,,,2026-08-15T01:40:53+00:00,"{""start_s"": 182.0, ""end_s"": 263.0}",,
gap0004-win-Arecibo-Observatory-20230714-161501.npy,usable,,,2026-08-15T01:41:04+00:00,"{""start_s"": 682.0, ""end_s"": 895.0}",,
gap0005-win-Arecibo-Observatory-20230508-184500.npy,usable,,,2026-08-15T01:41:12+00:00,"{""start_s"": 266.0, ""end_s"": 314.0}",,
gap0006-win-Arecibo-Observatory-20220521-143001.npy,usable,,,2026-08-15T01:41:22+00:00,"{""start_s"": 63.0, ""end_s"": 631.0}",,
gap0007-win-Arecibo-Observatory-20230714-163000.npy,usable,,,2026-08-15T01:41:31+00:00,"{""start_s"": 3.0, ""end_s"": 138.0}",,
gap0008-win-Arecibo-Observatory-20220703-154501.npy,usable,,,2026-08-15T01:41:43+00:00,"{""start_s"": 283.0, ""end_s"": 451.0}",,
gap0009-win-Arecibo-Observatory-20220918-150001.npy,usable,,,2026-08-15T01:41:53+00:00,"{""start_s"": 392.0, ""end_s"": 566.0}",,
gap0010-win-Arecibo-Observatory-20220817-144501.npy,usable,,,2026-08-15T01:42:05+00:00,"{""start_s"": 371.0, ""end_s"": 466.0}",,
gap0011-win-Arecibo-Observatory-20230508-141501.npy,usable,,,2026-08-15T01:42:14+00:00,"{""start_s"": 102.0, ""end_s"": 259.0}",,
gap0012-win-Arecibo-Observatory-20220516-182959.npy,usable,,,2026-08-15T01:42:24+00:00,"{""start_s"": 675.0, ""end_s"": 723.0}",,
gap0013-win-Arecibo-Observatory-20230715-194500.npy,usable,,,2026-08-15T01:42:34+00:00,"{""start_s"": 237.0, ""end_s"": 335.0}",,
gap0014-win-Arecibo-Observatory-20230226-174459.npy,usable,,,2026-08-15T01:42:47+00:00,"{""start_s"": 138.0, ""end_s"": 265.0}",,
gap0015-win-Arecibo-Observatory-20230709-131500.npy,usable,,,2026-08-15T01:42:57+00:00,"{""start_s"": 68.0, ""end_s"": 137.0}",,
gap0016-win-Arecibo-Observatory-20230711-192959.npy,usable,,,2026-08-15T01:43:09+00:00,"{""start_s"": 3.0, ""end_s"": 887.0}",,
gap0017-win-Arecibo-Observatory-20230714-184500.npy,usable,,,2026-08-15T01:43:19+00:00,"{""start_s"": 3.0, ""end_s"": 112.0}",,
gap0018-win-Arecibo-Observatory-20230519-150001.npy,usable,,,2026-08-15T01:43:29+00:00,"{""start_s"": 317.0, ""end_s"": 396.0}",,
gap0019-win-Arecibo-Observatory-20230505-124500.npy,usable,,,2026-08-15T01:43:39+00:00,"{""start_s"": 141.0, ""end_s"": 193.0}",,
gap0020-win-Arecibo-Observatory-20230217-151501.npy,usable,,,2026-08-15T01:43:52+00:00,"{""start_s"": 44.0, ""end_s"": 86.0}",,
gap0021-win-Arecibo-Observatory-20220130-192959.npy,usable,,,2026-08-15T01:44:04+00:00,"{""start_s"": 185.0, ""end_s"": 211.0}",,
gap0022-win-Arecibo-Observatory-20230209-133001.npy,usable,,,2026-08-15T01:44:15+00:00,"{""start_s"": 426.0, ""end_s"": 462.0}",,
gap0023-win-Arecibo-Observatory-20230711-141500.npy,usable,,,2026-08-15T01:44:26+00:00,"{""start_s"": 5.0, ""end_s"": 884.0}",,
gap0024-win-Arecibo-Observatory-20230509-150001.npy,usable,,,2026-08-15T01:44:36+00:00,"{""start_s"": 379.0, ""end_s"": 453.0}",,
gap0025-win-Arecibo-Observatory-20230511-181500.npy,usable,,,2026-08-15T01:44:50+00:00,"{""start_s"": 151.0, ""end_s"": 221.0}",,
gap0026-win-Arecibo-Observatory-20220703-164500.npy,usable,,,2026-08-15T01:45:01+00:00,"{""start_s"": 41.0, ""end_s"": 82.0}",,
gap0027-win-Arecibo-Observatory-20220528-164459.npy,usable,,,2026-08-15T01:45:14+00:00,"{""start_s"": 558.0, ""end_s"": 578.0}",,
gap0028-win-Arecibo-Observatory-20230714-163000.npy,usable,,,2026-08-15T01:45:25+00:00,"{""start_s"": 669.0, ""end_s"": 748.0}",,
gap0029-win-Arecibo-Observatory-20230623-150001.npy,usable,,,2026-08-15T01:45:38+00:00,"{""start_s"": 415.0, ""end_s"": 488.0}",,
gap0030-win-Arecibo-Observatory-20230709-151501.npy,usable,,,2026-08-15T01:45:49+00:00,"{""start_s"": 273.0, ""end_s"": 523.0}",,
gap0031-win-Arecibo-Observatory-20230623-150001.npy,usable,,,2026-08-15T01:46:02+00:00,"{""start_s"": 104.0, ""end_s"": 156.0}",,
gap0032-win-Arecibo-Observatory-20220722-160001.npy,usable,,,2026-08-15T01:46:32+00:00,"{""start_s"": 85.0, ""end_s"": 240.0}",,
gap0033-win-Arecibo-Observatory-20220703-143001.npy,usable,,,2026-08-15T01:46:45+00:00,"{""start_s"": 393.0, ""end_s"": 787.0}",,
gap0034-win-Arecibo-Observatory-20230510-154255.npy,usable,,,2026-08-15T01:46:50+00:00,,,
gap0035-win-Arecibo-Observatory-20230509-154501.npy,usable,,,2026-08-15T01:47:01+00:00,"{""start_s"": 27.0, ""end_s"": 133.0}",,
gap0036-win-Arecibo-Observatory-20220505-134501.npy,usable,,,2026-08-15T01:47:07+00:00,,,
