id,conf,stem,start_s,end_s,verdict,note
1,0.42486539483070374,win-Arecibo-Observatory-20230714-161501,670.0,900.0,y,
2,0.413925439119339,win-Arecibo-Observatory-20220521-143001,34.0,302.0,y,
3,0.4066106975078583,win-Arecibo-Observatory-20230714-163000,3.0,163.0,y,
4,0.402818500995636,win-Arecibo-Observatory-20220703-154501,64.0,311.0,y,
5,0.32383525371551514,win-Arecibo-Observatory-20220703-154501,262.0,453.0,y,
6,0.2865006625652313,win-Arecibo-Observatory-20220703-164500,23.0,73.0,y,
7,0.28020235896110535,win-Arecibo-Observatory-20230714-163000,652.0,756.0,y,
8,0.2711602747440338,win-Arecibo-Observatory-20220130-192959,186.0,249.0,y,
9,0.2537989616394043,win-Arecibo-Observatory-20220703-143001,384.0,550.0,y,
10,0.2246701866388321,win-Arecibo-Observatory-20220703-154501,282.0,306.0,y,
11,0.2220500111579895,win-Arecibo-Observatory-20220331-171459,195.0,324.0,y,
12,0.2157491147518158,win-Arecibo-Observatory-20230714-163000,0.0,267.0,y,
13,0.2132013440132141,win-Arecibo-Observatory-20220521-141501,839.0,898.0,y,
14,0.20633408427238464,win-Arecibo-Observatory-20220521-143001,204.0,488.0,y,
15,0.19216041266918182,win-Arecibo-Observatory-20220703-154501,320.0,465.0,y,
16,0.13900765776634216,win-Arecibo-Observatory-20220703-164500,44.0,73.0,y,
17,0.13476334512233734,win-Arecibo-Observatory-20220216-160001,139.0,155.0,y,
18,0.12497753649950027,win-Arecibo-Observatory-20220703-154501,411.0,451.0,y,
19,0.12011830508708954,win-Arecibo-Observatory-20220703-184459,192.0,222.0,y,
20,0.11150693893432617,win-Arecibo-Observatory-20220703-154501,425.0,444.0,y,
21,0.1096503883600235,win-Arecibo-Observatory-20220331-171459,264.0,309.0,y,
22,0.10866990685462952,win-Arecibo-Observatory-20220703-154501,422.0,444.0,y,
23,0.10614930838346481,win-Arecibo-Observatory-20220205-175959,5.0,233.0,y,
24,0.10100703686475754,win-Arecibo-Observatory-20220920-163000,271.0,504.0,y,
25,0.09575062990188599,win-Arecibo-Observatory-20220703-181459,318.0,369.0,n,
26,0.08723504096269608,win-Arecibo-Observatory-20220331-195959,662.0,676.0,n,
27,0.07683137059211731,win-Arecibo-Observatory-20220919-183000,130.0,182.0,y,
28,0.07633422315120697,win-Arecibo-Observatory-20220920-171459,138.0,370.0,y,
29,0.0705210268497467,win-Arecibo-Observatory-20220923-170000,670.0,890.0,y,
30,0.06197354197502136,win-Arecibo-Observatory-20220923-170000,560.0,577.0,y,
31,0.05507592111825943,win-Arecibo-Observatory-20220920-171459,192.0,539.0,y,
32,0.05484875291585922,win-Arecibo-Observatory-20230714-161501,391.0,454.0,y,
33,0.05387193337082863,win-Arecibo-Observatory-20220205-185959,787.0,804.0,y,
34,0.05212731659412384,win-Arecibo-Observatory-20220705-110000,0.0,235.0,y,
