id,file_name,stem,date,conf,start_s,end_s,n_catalog_boxes,split,verdict,note
1,win-Arecibo-Observatory-20230505-184500.npy,win-Arecibo-Observatory-20230505-184500,20230505,0.69,8.2,231.3,1,unused,y,
2,win-Arecibo-Observatory-20230715-141500.npy,win-Arecibo-Observatory-20230715-141500,20230715,0.484,6.3,107.3,1,unused,y,
3,win-Arecibo-Observatory-20221012-141501.npy,win-Arecibo-Observatory-20221012-141501,20221012,0.4654,184.8,315.2,1,train,y,
4,win-Arecibo-Observatory-20230714-161501.npy,win-Arecibo-Observatory-20230714-161501,20230714,0.4249,669.6,899.9,0,val,y,
5,win-Arecibo-Observatory-20230508-184500.npy,win-Arecibo-Observatory-20230508-184500,20230508,0.4248,254.6,322.7,0,unused,y,
6,win-Arecibo-Observatory-20220521-143001.npy,win-Arecibo-Observatory-20220521-143001,20220521,0.4139,34.1,302.0,1,val,y,
7,win-Arecibo-Observatory-20230714-163000.npy,win-Arecibo-Observatory-20230714-163000,20230714,0.4066,2.8,163.1,0,val,y,
8,win-Arecibo-Observatory-20220703-154501.npy,win-Arecibo-Observatory-20220703-154501,20220703,0.4028,64.3,310.8,0,val,y,
9,win-Arecibo-Observatory-20220918-150001.npy,win-Arecibo-Observatory-20220918-150001,20220918,0.4019,376.2,609.2,0,unused,y,
10,win-Arecibo-Observatory-20220817-144501.npy,win-Arecibo-Observatory-20220817-144501,20220817,0.3982,326.0,466.9,1,unused,y,
11,win-Arecibo-Observatory-20230508-141501.npy,win-Arecibo-Observatory-20230508-141501,20230508,0.3965,119.1,264.3,0,unused,y,
12,win-Arecibo-Observatory-20220516-182959.npy,win-Arecibo-Observatory-20220516-182959,20220516,0.3893,655.5,730.3,0,unused,y,
13,win-Arecibo-Observatory-20230715-194500.npy,win-Arecibo-Observatory-20230715-194500,20230715,0.3445,225.6,342.5,1,train,y,
14,win-Arecibo-Observatory-20230226-174459.npy,win-Arecibo-Observatory-20230226-174459,20230226,0.3396,142.4,271.4,0,unused,y,
15,win-Arecibo-Observatory-20230709-131500.npy,win-Arecibo-Observatory-20230709-131500,20230709,0.3234,55.7,145.4,1,unused,y,
16,win-Arecibo-Observatory-20230711-192959.npy,win-Arecibo-Observatory-20230711-192959,20230711,0.3231,0.0,427.7,0,unused,y,
17,win-Arecibo-Observatory-20230714-184500.npy,win-Arecibo-Observatory-20230714-184500,20230714,0.3177,3.2,104.4,1,val,y,
18,win-Arecibo-Observatory-20230519-150001.npy,win-Arecibo-Observatory-20230519-150001,20230519,0.3145,322.5,383.7,0,unused,y,
19,win-Arecibo-Observatory-20230505-124500.npy,win-Arecibo-Observatory-20230505-124500,20230505,0.3128,144.5,196.4,0,unused,y,
20,win-Arecibo-Observatory-20230217-151501.npy,win-Arecibo-Observatory-20230217-151501,20230217,0.312,32.3,93.3,1,unused,y,
21,win-Arecibo-Observatory-20220130-192959.npy,win-Arecibo-Observatory-20220130-192959,20220130,0.3029,183.4,278.0,1,val,y,
22,win-Arecibo-Observatory-20230209-133001.npy,win-Arecibo-Observatory-20230209-133001,20230209,0.2915,425.2,445.9,1,unused,y,
23,win-Arecibo-Observatory-20230711-141500.npy,win-Arecibo-Observatory-20230711-141500,20230711,0.2908,4.6,436.9,0,unused,y,
24,win-Arecibo-Observatory-20230509-150001.npy,win-Arecibo-Observatory-20230509-150001,20230509,0.2907,382.9,461.9,0,unused,y,
25,win-Arecibo-Observatory-20230511-181500.npy,win-Arecibo-Observatory-20230511-181500,20230511,0.2879,146.7,216.2,1,unused,y,
26,win-Arecibo-Observatory-20220703-164500.npy,win-Arecibo-Observatory-20220703-164500,20220703,0.2865,22.6,73.3,0,val,y,
27,win-Arecibo-Observatory-20220528-164459.npy,win-Arecibo-Observatory-20220528-164459,20220528,0.2855,544.3,597.4,1,train,y,
28,win-Arecibo-Observatory-20230714-163000.npy,win-Arecibo-Observatory-20230714-163000,20230714,0.2802,651.9,755.7,0,val,y,
29,win-Arecibo-Observatory-20230623-150001.npy,win-Arecibo-Observatory-20230623-150001,20230623,0.2781,424.1,481.7,0,unused,y,
30,win-Arecibo-Observatory-20230709-151501.npy,win-Arecibo-Observatory-20230709-151501,20230709,0.2606,216.5,548.9,0,unused,y,
31,win-Arecibo-Observatory-20230623-150001.npy,win-Arecibo-Observatory-20230623-150001,20230623,0.2587,113.7,163.8,0,unused,y,
32,win-Arecibo-Observatory-20220722-160001.npy,win-Arecibo-Observatory-20220722-160001,20220722,0.2585,81.6,247.3,0,unused,y,
33,win-Arecibo-Observatory-20220703-143001.npy,win-Arecibo-Observatory-20220703-143001,20220703,0.2538,384.4,549.8,0,val,y,
34,win-Arecibo-Observatory-20230510-154255.npy,win-Arecibo-Observatory-20230510-154255,20230510,0.2487,608.2,625.0,1,unused,y,
35,win-Arecibo-Observatory-20230509-154501.npy,win-Arecibo-Observatory-20230509-154501,20230509,0.2443,2.3,136.4,0,unused,y,
36,win-Arecibo-Observatory-20220505-134501.npy,win-Arecibo-Observatory-20220505-134501,20220505,0.241,234.0,255.5,0,unused,y,
37,win-Arecibo-Observatory-20221012-143001.npy,win-Arecibo-Observatory-20221012-143001,20221012,0.2381,345.4,392.2,1,train,y,
38,win-Arecibo-Observatory-20220703-184459.npy,win-Arecibo-Observatory-20220703-184459,20220703,0.2365,490.7,528.8,0,val,y,
39,win-Arecibo-Observatory-20220530-150001.npy,win-Arecibo-Observatory-20220530-150001,20220530,0.2333,669.5,702.4,1,train,y,
40,win-Arecibo-Observatory-20230715-121500.npy,win-Arecibo-Observatory-20230715-121500,20230715,0.2316,373.0,397.7,1,unused,y,
41,win-Arecibo-Observatory-20230323-184500.npy,win-Arecibo-Observatory-20230323-184500,20230323,0.2224,608.6,626.0,1,unused,y,
42,win-Arecibo-Observatory-20220331-171459.npy,win-Arecibo-Observatory-20220331-171459,20220331,0.2221,195.3,323.7,0,val,y,
43,win-Arecibo-Observatory-20230711-182959.npy,win-Arecibo-Observatory-20230711-182959,20230711,0.2154,83.2,136.9,0,unused,y,
44,win-Arecibo-Observatory-20230709-151501.npy,win-Arecibo-Observatory-20230709-151501,20230709,0.2148,495.5,521.3,0,unused,y,
45,win-Arecibo-Observatory-20220511-144501.npy,win-Arecibo-Observatory-20220511-144501,20220511,0.2141,647.2,668.3,0,val,y,
46,win-Arecibo-Observatory-20220521-141501.npy,win-Arecibo-Observatory-20220521-141501,20220521,0.2132,839.3,897.9,1,val,y,
47,win-Arecibo-Observatory-20230615-124500.npy,win-Arecibo-Observatory-20230615-124500,20230615,0.2111,61.3,297.1,1,unused,y,
