id,conf,stem,n_box,verdict,note
1,0.425,win-Arecibo-Observatory-20230714-161501,1,y,
2,0.407,win-Arecibo-Observatory-20230714-163000,4,y,
3,0.403,win-Arecibo-Observatory-20220703-154501,11,y,
4,0.287,win-Arecibo-Observatory-20220703-164500,3,y,
5,0.254,win-Arecibo-Observatory-20220703-143001,5,y,
6,0.236,win-Arecibo-Observatory-20220703-184459,4,y,
7,0.222,win-Arecibo-Observatory-20220331-171459,3,y,
8,0.214,win-Arecibo-Observatory-20220511-144501,3,y,
9,0.167,win-Arecibo-Observatory-20220330-134501,2,n,
10,0.155,win-Arecibo-Observatory-20220923-161501,1,y,
11,0.144,win-Arecibo-Observatory-20220920-171459,1,y,
12,0.135,win-Arecibo-Observatory-20220216-160001,2,y,
13,0.127,win-Arecibo-Observatory-20230714-170000,2,y,
14,0.122,win-Arecibo-Observatory-20220331-170000,2,y,
15,0.114,win-Arecibo-Observatory-20220420-123000,2,n,
16,0.106,win-Arecibo-Observatory-20220205-175959,1,y,
