epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7889,1.05619,2.1419,0.94335,0.40635,0.0596,0.03776,0.00898,3.50044,3.11671,1.65331,0.000474961,0.000474961,0.000474961
2,181.581,1.02907,2.09831,0.92681,0.7293,0.09051,0.04236,0.01238,3.53226,4.40941,1.94295,0.000913623,0.000913623,0.000913623
3,269.785,1.01242,2.13832,0.90886,0.7834,0.0574,0.05739,0.01521,3.50727,2.45229,1.71801,0.00131456,0.00131456,0.00131456
4,357.702,0.89962,2.06021,0.90764,0.75661,0.062,0.03184,0.00726,3.49344,4.03531,1.78269,0.00125923,0.00125923,0.00125923
5,444.798,0.90002,1.99481,0.91498,0.41778,0.07947,0.03715,0.01,3.56999,2.54353,1.8553,0.00120265,0.00120265,0.00120265
6,529.944,0.85196,1.82587,0.9084,0.74513,0.11258,0.05507,0.01164,3.50335,2.44623,1.83628,0.00114606,0.00114606,0.00114606
7,615.14,0.79011,1.79166,0.90997,0.73953,0.0846,0.03805,0.00896,3.60103,2.80439,1.86436,0.00108947,0.00108947,0.00108947
8,700.471,0.77071,1.71829,0.89531,0.77749,0.06402,0.05196,0.0139,3.53162,2.75113,1.72512,0.00103288,0.00103288,0.00103288
9,784.535,0.76693,1.68288,0.90219,0.3931,0.07064,0.03448,0.00868,3.45103,3.21812,1.68696,0.000976293,0.000976293,0.000976293
10,867.765,0.72949,1.60539,0.90187,0.75133,0.08168,0.04457,0.01,3.40653,2.58063,1.85656,0.000919704,0.000919704,0.000919704
11,951.292,0.71806,1.62971,0.8958,0.0066,0.07542,0.00825,0.0037,3.38678,8.74785,1.91514,0.000863116,0.000863116,0.000863116
