epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5517,1.46387,2.512,0.71503,0.00709,0.00442,0.00014,3e-05,4.17187,7.13033,2.54789,0.000474543,0.000474543,0.000474543
2,125.569,1.50283,2.1721,0.73171,0.00854,0.11258,0.0071,0.00133,3.78564,4.32654,2.13557,0.000913221,0.000913221,0.000913221
3,187.04,1.55887,2.04863,0.74335,0.00941,0.12141,0.0092,0.00183,3.95362,3.77651,2.2227,0.00131417,0.00131417,0.00131417
4,248.929,1.56468,1.81456,0.68503,0.69309,0.05077,0.01075,0.00194,3.57893,3.69793,1.80662,0.00125923,0.00125923,0.00125923
5,309.961,1.37438,1.62947,0.59729,0.00391,0.17127,0.01118,0.00208,3.68258,3.71247,2.12193,0.00120265,0.00120265,0.00120265
6,370.998,1.44598,1.59226,0.58912,0.35821,0.10155,0.05185,0.00668,3.56783,3.04565,1.79492,0.00114606,0.00114606,0.00114606
7,431.918,1.35716,1.50341,0.54287,0.02429,0.07947,0.01007,0.00182,3.58066,5.16983,2.10134,0.00108947,0.00108947,0.00108947
8,492.889,1.30962,1.50275,0.57253,0.00468,0.11479,0.00894,0.00161,3.63986,4.36118,2.00715,0.00103288,0.00103288,0.00103288
9,553.72,1.30243,1.40188,0.53434,0.70784,0.03974,0.02191,0.00493,3.49134,3.56859,1.92523,0.000976293,0.000976293,0.000976293
10,614.486,1.20617,1.42335,0.5077,0.69804,0.07726,0.01929,0.00443,3.51914,3.18482,1.99595,0.000919704,0.000919704,0.000919704
11,675.387,1.25876,1.43474,0.52282,0.02036,0.15802,0.01857,0.00376,3.39508,4.02892,2.03741,0.000863116,0.000863116,0.000863116
12,736.099,1.13235,1.30592,0.47006,0.02467,0.29341,0.0281,0.00594,3.34366,3.70021,2.02778,0.000806528,0.000806528,0.000806528
13,796.985,1.12958,1.31669,0.49005,0.39343,0.11737,0.03201,0.00792,3.35965,3.37374,1.97001,0.000749939,0.000749939,0.000749939
14,858.269,1.14013,1.36122,0.51114,0.42643,0.05997,0.04807,0.00701,3.38165,3.61723,2.02329,0.000693351,0.000693351,0.000693351
15,918.925,1.06862,1.2148,0.46498,0.72916,0.05077,0.02903,0.00568,3.22481,3.57672,2.03069,0.000636762,0.000636762,0.000636762
16,981.142,1.05187,1.24829,0.48228,0.0105,0.39662,0.02475,0.00588,3.19735,3.6304,2.17791,0.000580174,0.000580174,0.000580174
17,1042.14,1.03013,1.21329,0.48498,0.40029,0.06623,0.03957,0.00931,3.13223,3.29248,2.03329,0.000523586,0.000523586,0.000523586
18,1103.38,1.06818,1.22406,0.47217,0.01197,0.33793,0.02684,0.00736,3.32906,4.07117,2.16737,0.000466997,0.000466997,0.000466997
19,1164.51,1.08221,1.20095,0.49165,0.40049,0.06181,0.0394,0.00953,3.14081,3.26417,1.99265,0.000410409,0.000410409,0.000410409
20,1225.92,1.05384,1.19313,0.48806,0.41992,0.07506,0.04951,0.01179,3.11721,3.21864,2.08546,0.00035382,0.00035382,0.00035382
21,1287.17,0.93534,1.03612,0.43044,0.40221,0.08389,0.03684,0.00824,3.26723,3.25682,2.0643,0.000297232,0.000297232,0.000297232
22,1348.07,0.88928,0.99072,0.43686,0.40327,0.07506,0.03667,0.00821,3.24165,3.44228,2.17756,0.000240644,0.000240644,0.000240644
23,1409.33,0.97886,1.06103,0.46546,0.41216,0.0708,0.02949,0.00627,3.34408,3.41153,2.30295,0.000184055,0.000184055,0.000184055
24,1470.66,0.90666,0.98919,0.45948,0.39619,0.06623,0.03441,0.00776,3.26015,3.42749,2.3547,0.000127467,0.000127467,0.000127467
25,1531.68,0.89905,0.90779,0.42472,0.3996,0.09051,0.03891,0.00988,3.26628,3.28599,2.29354,7.08784e-05,7.08784e-05,7.08784e-05
