epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.025,1.12479,2.42682,1.07824,0.67685,0.00442,0.00124,0.00025,3.91622,7.18018,3.37162,0.000475646,0.000475646,0.000475646
2,614.034,1.05392,2.372,1.03193,0.69368,0.03753,0.01369,0.0045,3.30957,3.2136,2.65527,0.000914281,0.000914281,0.000914281
3,916.919,1.01989,2.22814,1.04698,0.73604,0.09051,0.04238,0.01235,3.27623,2.74997,2.75663,0.00131519,0.00131519,0.00131519
4,1218.92,0.93082,2.15444,1.01043,0.72529,0.07947,0.03112,0.00852,3.19532,3.57809,2.83081,0.00125923,0.00125923,0.00125923
5,1520.81,0.88686,2.08697,1.00359,0.74628,0.00442,0.00262,0.00096,3.4846,7.97539,2.79868,0.00120265,0.00120265,0.00120265
6,1822.42,0.78281,2.02777,0.96091,0.74073,0.06843,0.03048,0.00802,3.35714,3.07164,3.09412,0.00114606,0.00114606,0.00114606
7,2124.55,0.69969,2.00453,0.95428,0.74725,0.08389,0.04277,0.00914,3.32477,2.89155,2.95589,0.00108947,0.00108947,0.00108947
8,2426.36,0.60394,1.89648,0.94162,0.71578,0.07285,0.02266,0.00487,3.37547,4.20524,3.78012,0.00103288,0.00103288,0.00103288
9,2728.11,0.5117,1.80926,0.92956,0.04025,0.0574,0.01795,0.00476,3.32955,3.60391,3.14174,0.000976293,0.000976293,0.000976293
10,3048.74,0.4806,1.75969,0.92615,0.38931,0.07506,0.03415,0.0076,3.28184,2.77387,2.91244,0.000919704,0.000919704,0.000919704
11,3351.1,0.4742,1.76824,0.90859,0.37201,0.08168,0.02789,0.00607,3.32473,3.24059,3.27949,0.000863116,0.000863116,0.000863116
