epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4103,1.04136,2.16421,1.10903,0.75008,0.05437,0.14641,0.08134,3.19815,4.5327,1.26937,0.000474907,0.000474907,0.000474907
2,167.729,1.08062,2.1315,1.11344,0.72156,0.05437,0.13636,0.06613,3.38835,3.06249,1.3067,0.000935545,0.000935545,0.000935545
3,249.335,1.01342,2.14376,1.09034,0.70356,0.06383,0.16223,0.04558,3.55955,3.82723,1.6251,0.00138046,0.00138046,0.00138046
4,330.869,1.00016,2.16628,1.10122,0.70209,0.04492,0.01933,0.00709,3.46815,3.58071,1.37475,0.00135826,0.00135826,0.00135826
5,412.279,0.94222,2.11613,1.06945,0.72846,0.03783,0.0199,0.00594,3.51496,6.04657,1.44934,0.00133469,0.00133469,0.00133469
6,493.618,0.88549,2.02133,1.08187,0.70533,0.06576,0.02078,0.00659,3.41701,5.48036,1.32875,0.00131111,0.00131111,0.00131111
7,575.069,0.83677,1.90081,1.07182,0.71303,0.03546,0.02201,0.00928,3.45886,7.98337,1.39334,0.00128753,0.00128753,0.00128753
8,656.462,0.83864,1.86596,1.06019,0.71911,0.08747,0.03594,0.01174,3.35336,3.2949,1.29932,0.00126395,0.00126395,0.00126395
9,737.842,0.79761,1.7794,1.05276,0.70807,0.05201,0.03,0.00942,3.50613,4.94051,1.35406,0.00124037,0.00124037,0.00124037
10,819.469,0.72841,1.71502,1.02988,0.71061,0.07565,0.02867,0.00948,3.44621,3.25244,1.26954,0.00121679,0.00121679,0.00121679
11,900.979,0.74031,1.74764,1.03355,0.3705,0.22459,0.0547,0.02657,3.38036,6.14448,1.35079,0.00119322,0.00119322,0.00119322
12,982.484,0.71347,1.69837,1.02663,0.41368,0.16074,0.04575,0.01413,3.44333,4.44028,1.34493,0.00116964,0.00116964,0.00116964
13,1063.97,0.70526,1.68032,1.03294,0.43061,0.20331,0.07207,0.03732,3.36763,6.21267,1.26472,0.00114606,0.00114606,0.00114606
14,1145.5,0.68297,1.67543,1.02357,0.48139,0.21277,0.08056,0.04557,3.40838,3.26625,1.31666,0.00112248,0.00112248,0.00112248
15,1227.16,0.68093,1.55316,1.02218,0.04372,0.17258,0.02306,0.00684,3.50326,2.99722,1.39146,0.0010989,0.0010989,0.0010989
16,1308.7,0.65712,1.53934,1.00824,0.4622,0.21749,0.08139,0.03883,3.45355,3.73012,1.34827,0.00107532,0.00107532,0.00107532
17,1390.38,0.62443,1.52528,1.00112,0.72549,0.05437,0.02934,0.00731,3.41492,5.99592,1.37042,0.00105174,0.00105174,0.00105174
18,1472.03,0.65382,1.48723,1.00803,0.7242,0.08038,0.02761,0.00824,3.43558,3.72615,1.43106,0.00102817,0.00102817,0.00102817
19,1553.75,0.61407,1.49201,0.99065,0.47562,0.18676,0.08598,0.03558,3.50046,3.17743,1.42772,0.00100459,0.00100459,0.00100459
20,1635.43,0.57824,1.47514,0.97873,0.72078,0.07092,0.03171,0.00705,3.49099,3.14148,1.3701,0.000981008,0.000981008,0.000981008
21,1717.31,0.59916,1.42286,0.9967,0.38857,0.06619,0.02731,0.00918,3.50404,5.37393,1.42548,0.00095743,0.00095743,0.00095743
22,1799.14,0.60483,1.39358,0.99041,0.09233,0.20567,0.12652,0.06973,3.49909,7.67798,1.44457,0.000933851,0.000933851,0.000933851
23,1881.06,0.58369,1.31141,0.97975,0.50408,0.18203,0.08085,0.02991,3.48318,3.26521,1.39184,0.000910273,0.000910273,0.000910273
