epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6197,0.72249,1.97739,0.90837,0.68456,0.00709,0.00696,0.00297,3.7558,25.826,1.75788,0.000474907,0.000474907,0.000474907
2,166.869,0.78396,1.97027,0.90629,0.71369,0.06856,0.03412,0.01105,3.30762,3.6189,1.37971,0.000913571,0.000913571,0.000913571
3,248.778,0.74441,1.94907,0.89892,0.74938,0.08036,0.04768,0.01247,3.40627,3.13643,1.43625,0.00131451,0.00131451,0.00131451
4,329.896,0.63048,1.86041,0.88341,0.73501,0.08747,0.04259,0.01201,3.40727,3.71741,1.47033,0.00125923,0.00125923,0.00125923
5,410.993,0.64075,1.9022,0.87781,0.7606,0.09184,0.04688,0.01265,3.34426,2.62051,1.50643,0.00120265,0.00120265,0.00120265
6,492.286,0.60631,1.73854,0.88844,0.73187,0.10638,0.05314,0.01435,3.4411,2.62493,1.5289,0.00114606,0.00114606,0.00114606
7,573.648,0.57516,1.60566,0.88872,0.7369,0.06619,0.02754,0.00607,3.40832,8.4385,1.59816,0.00108947,0.00108947,0.00108947
8,655,0.5666,1.65524,0.88348,0.74698,0.08747,0.03404,0.00945,3.36373,3.27009,1.53749,0.00103288,0.00103288,0.00103288
9,736.16,0.55309,1.55108,0.87794,0.39822,0.06147,0.03205,0.00965,3.4284,3.99713,1.51839,0.000976293,0.000976293,0.000976293
10,817.33,0.51199,1.47186,0.87751,0.41972,0.07801,0.03838,0.00882,3.4752,3.85965,1.55304,0.000919704,0.000919704,0.000919704
11,898.52,0.54188,1.52543,0.8804,0.38976,0.09929,0.02977,0.00859,3.40094,3.32071,1.50359,0.000863116,0.000863116,0.000863116
12,979.791,0.51063,1.43936,0.87918,0.40461,0.07329,0.03166,0.00809,3.56906,6.72935,1.57999,0.000806528,0.000806528,0.000806528
13,1061.25,0.49791,1.40741,0.87247,0.74083,0.06383,0.03028,0.00745,3.47143,3.28035,1.6261,0.000749939,0.000749939,0.000749939
14,1142.98,0.4796,1.37381,0.8755,0.73893,0.07565,0.0361,0.00888,3.45668,2.98401,1.58879,0.000693351,0.000693351,0.000693351
