station,n_events,n_samples,freq_min_mhz,freq_max_mhz,n_freq_channels,sample_interval_s,data_std,frac_saturated,frac_zero,horizontal_rfi_frac,vertical_rfi_frac
Australia-ASSA,154,3,15.0,86.93800354003906,200,0.25,16.262690495080847,0.00011666666666666667,0.000125,0.09000000000000001,0.0005555555555555556
ALASKA-COHOE,128,3,45.0,92.93800354003906,200,0.25,19.533494185717853,0.00011672075413382786,0.0001250579508576727,0.12166666666666666,0.0
INDIA-OOTY,125,3,45.0,442.125,200,0.25,8.612141904992425,0.0,0.0,0.08333333333333333,0.016296296296296295
SWISS-Landschlacht,118,3,15.0,86.625,200,0.25,29.509291279447122,0.00011666666666666667,0.000125,0.20333333333333334,0.006481481481481481
ALASKA-HAARP,113,3,10.0,81.93800354003906,200,0.25,14.695017953569371,0.00011666666666666667,0.000125,0.12166666666666666,0.024907407407407406
HUMAIN,111,3,45.0,437.0,200,0.25,19.702882737456076,0.00011666666666666667,0.000125,0.14,0.002407407407407407
GLASGOW,110,3,45.0,80.81300354003906,200,0.25,7.926479331725784,0.0,0.0,0.06833333333333334,0.034444444444444444
AUSTRIA-UNIGRAZ,110,3,45.0,80.875,200,0.25,19.429291017538347,0.00011666666666666667,0.000125,0.06833333333333333,0.010648148148148148
INDIA-UDAIPUR,100,3,45.0,247.0,200,0.25,16.799435456356225,0.00011666666666666667,0.000125,0.32666666666666666,0.0462037037037037
Arecibo-Observatory,91,3,15.0,86.625,200,0.25,26.104471739557415,0.0001533333333333333,0.00016333333333333334,0.005,0.02572222222222222
MEXICO-LANCE,88,3,45.0,104.875,200,0.25,26.61672646965508,0.00011666666666666667,0.000125,0.3033333333333333,0.0010185185185185186
INDIA-GAURI,81,3,45.0,410.5,200,0.25,17.152141890324824,0.00011666666666666667,0.000125,0.18166666666666664,0.0005555555555555556
BIR,80,3,10.0,105.5,200,0.25,17.46848332993075,0.0,0.0,0.3466666666666667,0.0
EGYPT-Alexandria,77,3,10.0,81.625,200,0.25,24.933936113572756,0.00011666666666666667,0.000125,0.12666666666666668,0.0
MRO,76,3,49.988,846.2379999999999,200,0.25,18.544961932115136,0.0,0.0,0.18166666666666667,0.044444444444444446
SWISS-MUHEN,74,3,15.0,86.93800354003906,200,0.25,18.62139550203566,0.00011666666666666667,0.000125,0.041666666666666664,0.0
