file_name,status,notes,override_params_json,reviewed_at
burst-Arecibo-Observatory-10-10-2021-125500-125600-typeIII.npy,discard,,,2026-08-10T20:19:50+00:00
burst-Arecibo-Observatory-10-10-2021-150000-150000-typeIII.npy,discard,,,2026-08-10T20:19:57+00:00
burst-Arecibo-Observatory-10-13-2021-115100-115200-typeIII.npy,discard,,,2026-08-10T20:20:03+00:00
burst-Arecibo-Observatory-10-23-2021-151000-151300-typeIII.npy,discard,,,2026-08-10T20:20:09+00:00
burst-Arecibo-Observatory-10-25-2021-180500-180500-typeIII.npy,discard,,,2026-08-10T20:20:16+00:00
burst-Arecibo-Observatory-10-26-2021-140600-141300-typeIII.npy,case_by_case,时间轴要缩短,,2026-08-10T20:20:41+00:00
burst-Arecibo-Observatory-10-28-2021-124600-124700-typeIII.npy,discard,,,2026-08-10T20:21:24+00:00
burst-Arecibo-Observatory-10-30-2021-171800-171800-typeIII.npy,discard,,,2026-08-10T20:21:32+00:00
burst-Arecibo-Observatory-10-30-2021-160900-160900-typeIII.npy,discard,,,2026-08-10T20:21:38+00:00
burst-Arecibo-Observatory-10-31-2021-152600-152700-typeIII.npy,usable,,,2026-08-10T20:21:50+00:00
burst-Arecibo-Observatory-11-01-2021-110600-110700-typeIII.npy,discard,,,2026-08-10T20:21:56+00:00
burst-Arecibo-Observatory-11-03-2021-140600-140800-typeIII.npy,usable,,,2026-08-10T20:22:07+00:00
burst-Arecibo-Observatory-11-17-2021-140900-140900-typeV.npy,discard,,,2026-08-10T20:22:14+00:00
burst-Arecibo-Observatory-12-15-2021-143200-143200-typeIII.npy,case_by_case,时间轴错了，burst在标注点的后面,,2026-08-10T20:22:38+00:00
burst-Arecibo-Observatory-12-21-2021-174300-174400-typeIII.npy,usable,,,2026-08-10T20:22:46+00:00
burst-Arecibo-Observatory-12-23-2021-175500-175800-typeIII.npy,case_by_case,burst偏淡,,2026-08-10T20:23:06+00:00
burst-Arecibo-Observatory-12-23-2021-183100-183100-typeIII.npy,case_by_case,时间轴错了在后面,,2026-08-10T20:23:19+00:00
burst-Arecibo-Observatory-12-28-2021-152700-152700-typeIII.npy,discard,,,2026-08-10T20:23:26+00:00
burst-Arecibo-Observatory-01-01-2022-134200-134500-typeIII.npy,usable,,,2026-08-10T20:23:37+00:00
burst-Arecibo-Observatory-01-07-2022-121100-121100-typeIII.npy,discard,,,2026-08-10T20:23:46+00:00
burst-Arecibo-Observatory-01-09-2022-181800-182400-typeIII.npy,usable,,,2026-08-10T20:24:03+00:00
burst-Arecibo-Observatory-01-10-2022-184800-184800-typeIII.npy,usable,,,2026-08-10T20:24:06+00:00
burst-Arecibo-Observatory-01-10-2022-163600-163600-typeIII.npy,usable,"时间轴在burst后面
",,2026-08-10T20:24:21+00:00
burst-Arecibo-Observatory-01-11-2022-181000-181000-typeIII.npy,discard,,,2026-08-10T20:24:28+00:00
burst-Arecibo-Observatory-01-12-2022-143200-143200-typeV.npy,case_by_case,时间轴在burst后面（意思是标记的时间比burst的实际时间早）,,2026-08-10T20:25:02+00:00
burst-Arecibo-Observatory-01-13-2022-170900-171000-typeIII.npy,usable,,,2026-08-10T20:25:07+00:00
burst-Arecibo-Observatory-01-13-2022-113300-113300-typeIII.npy,discard,,,2026-08-10T20:25:15+00:00
burst-Arecibo-Observatory-01-27-2022-144500-144600-typeV.npy,discard,,,2026-08-10T20:25:23+00:00
burst-Arecibo-Observatory-01-29-2022-180600-180700-typeIII.npy,usable,,,2026-08-10T20:25:30+00:00
burst-Arecibo-Observatory-01-29-2022-180100-180100-typeIII.npy,case_by_case,标记比实际时间早,,2026-08-10T20:25:45+00:00
burst-Arecibo-Observatory-01-29-2022-175000-175600-typeIII.npy,usable,,,2026-08-10T20:25:52+00:00
burst-Arecibo-Observatory-01-29-2022-173100-173100-typeIII.npy,usable,标记比实际时间早,,2026-08-10T20:26:09+00:00
burst-Arecibo-Observatory-01-29-2022-153000-153000-typeIII.npy,case_by_case,标记比实际时间早,,2026-08-10T20:26:24+00:00
burst-Arecibo-Observatory-01-29-2022-135700-135700-typeIII.npy,discard,,,2026-08-10T20:26:32+00:00
burst-Arecibo-Observatory-01-29-2022-133700-133800-typeIII.npy,discard,,,2026-08-10T20:26:40+00:00
burst-Arecibo-Observatory-01-29-2022-123200-123200-typeIII.npy,discard,,,2026-08-10T20:26:47+00:00
burst-Arecibo-Observatory-01-29-2022-155300-155400-typeIII.npy,case_by_case,标记比实际时间早，且偏淡,,2026-08-10T20:27:03+00:00
burst-Arecibo-Observatory-01-30-2022-173800-173900-typeIII.npy,usable,,,2026-08-10T20:27:10+00:00
burst-Arecibo-Observatory-01-30-2022-200900-201200-typeIII.npy,case_by_case,标记比实际时间早,,2026-08-10T20:27:26+00:00
burst-Arecibo-Observatory-01-30-2022-193800-193900-typeIII.npy,case_by_case,标记窗口比实际时间早,,2026-08-10T20:27:46+00:00
burst-Arecibo-Observatory-01-30-2022-191800-192000-typeIII.npy,discard,,,2026-08-10T20:27:54+00:00
burst-Arecibo-Observatory-01-30-2022-183200-183200-typeIII.npy,case_by_case,标记比实际时间早,,2026-08-10T20:28:10+00:00
burst-Arecibo-Observatory-01-30-2022-180500-180800-typeIII.npy,usable,,,2026-08-10T20:28:17+00:00
burst-Arecibo-Observatory-01-30-2022-173500-173500-typeIII.npy,case_by_case,标记比实际时间早,,2026-08-10T20:28:29+00:00
burst-Arecibo-Observatory-01-30-2022-165300-165300-typeIII.npy,discard,,,2026-08-10T20:28:37+00:00
burst-Australia-ASSA-01-19-2021-024200-024200-typeIII.npy,discard,,,2026-08-10T20:28:51+00:00
burst-Australia-ASSA-01-27-2021-043200-043200-typeIII.npy,usable,,,2026-08-10T20:28:54+00:00
burst-Australia-ASSA-04-19-2021-065500-065700-typeIII.npy,discard,,,2026-08-10T20:29:02+00:00
burst-Australia-ASSA-04-19-2021-233900-234200-typeII.npy,case_by_case,burst本身很淡，基本被抹除,,2026-08-10T20:29:23+00:00
burst-Australia-ASSA-04-19-2021-233900-234300-typeIII.npy,case_by_case,burst很淡，基本被抹除,,2026-08-10T20:29:40+00:00
burst-Australia-ASSA-04-20-2021-233900-233900-typeIII.npy,discard,,,2026-08-10T20:29:47+00:00
burst-Australia-ASSA-04-20-2021-014700-014800-typeIII.npy,usable,,,2026-08-10T20:29:55+00:00
burst-Australia-ASSA-04-21-2021-213100-213100-typeIII.npy,discard,,,2026-08-10T20:30:03+00:00
burst-Australia-ASSA-04-21-2021-233600-233700-typeIII.npy,case_by_case,比实际时间早,,2026-08-10T20:30:16+00:00
burst-Australia-ASSA-04-23-2021-012900-012900-typeIII.npy,case_by_case,比实际时间早,,2026-08-10T20:30:28+00:00
burst-Australia-ASSA-04-23-2021-003400-003400-typeIII.npy,case_by_case,比实际时间早,,2026-08-10T20:30:45+00:00
burst-Australia-ASSA-04-24-2021-012800-012900-typeIII.npy,usable,,,2026-08-10T20:30:52+00:00
burst-Australia-ASSA-04-29-2021-031700-031800-typeIII.npy,usable,,,2026-08-10T20:30:57+00:00
burst-Australia-ASSA-05-05-2021-070200-070200-typeIII.npy,discard,,,2026-08-10T20:31:04+00:00
burst-Australia-ASSA-05-06-2021-233200-233200-typeIII.npy,discard,,,2026-08-10T20:31:11+00:00
burst-Australia-ASSA-05-06-2021-040900-040900-typeIII.npy,discard,,,2026-08-10T20:31:18+00:00
burst-Australia-ASSA-05-06-2021-045300-045400-typeIII.npy,discard,,,2026-08-10T20:31:25+00:00
burst-Australia-ASSA-05-06-2021-052100-052900-typeIII.npy,discard,,,2026-08-10T20:31:34+00:00
burst-Australia-ASSA-05-06-2021-053400-053400-typeIII.npy,case_by_case,时间点比实际要靠前,,2026-08-10T20:31:54+00:00
burst-Australia-ASSA-05-07-2021-003600-003700-typeIII.npy,case_by_case,标记区间在实际burst的前面,,2026-08-10T20:33:33+00:00
burst-Australia-ASSA-05-07-2021-030800-030900-typeIII.npy,usable,,,2026-08-10T20:33:50+00:00
burst-Australia-ASSA-05-08-2021-023300-023400-typeIII.npy,usable,,,2026-08-10T20:33:56+00:00
burst-Australia-ASSA-05-08-2021-012700-012700-typeIII.npy,discard,,,2026-08-10T20:34:05+00:00
burst-Australia-ASSA-05-10-2021-055300-055300-typeIII.npy,case_by_case,时间点在实际burst的前面,,2026-08-10T20:34:23+00:00
burst-Australia-ASSA-05-13-2021-023900-024100-typeIII.npy,usable,,,2026-08-10T20:34:30+00:00
burst-Australia-ASSA-05-13-2021-014300-014800-typeIII.npy,usable,,,2026-08-10T20:34:37+00:00
burst-Australia-ASSA-05-15-2021-022300-022300-typeIII.npy,discard,,,2026-08-10T20:34:46+00:00
burst-SWISS-Landschlacht-01-20-2021-123700-123700-typeIII.npy,discard,,,2026-08-10T20:34:56+00:00
burst-SWISS-Landschlacht-02-27-2021-105500-105500-typeIII.npy,discard,,,2026-08-10T20:35:05+00:00
burst-SWISS-Landschlacht-03-01-2021-123600-123800-typeIII.npy,usable,,,2026-08-10T20:35:11+00:00
burst-SWISS-Landschlacht-03-03-2021-110900-111000-typeIII.npy,usable,,,2026-08-10T20:35:18+00:00
burst-SWISS-Landschlacht-04-17-2021-162600-163200-typeII.npy,discard,,,2026-08-10T20:35:28+00:00
burst-SWISS-Landschlacht-04-21-2021-090300-090300-typeIII.npy,discard,,,2026-08-10T20:35:36+00:00
burst-SWISS-Landschlacht-04-21-2021-163800-163900-typeIII.npy,discard,,,2026-08-10T20:35:44+00:00
burst-SWISS-Landschlacht-04-22-2021-102500-102700-typeIII.npy,discard,,,2026-08-10T20:35:55+00:00
burst-SWISS-Landschlacht-04-22-2021-095300-095300-typeIII.npy,case_by_case,时间点在实际burst前面,,2026-08-10T20:36:11+00:00
burst-SWISS-Landschlacht-04-23-2021-153000-153200-typeIII.npy,usable,,,2026-08-10T20:36:19+00:00
burst-SWISS-Landschlacht-04-24-2021-102200-102500-typeIII.npy,usable,,,2026-08-10T20:36:25+00:00
burst-SWISS-Landschlacht-04-24-2021-080600-080600-typeII.npy,discard,,,2026-08-10T20:36:33+00:00
burst-SWISS-Landschlacht-04-25-2021-103700-103700-typeIII.npy,discard,,,2026-08-10T20:36:41+00:00
burst-SWISS-Landschlacht-04-26-2021-135600-135600-typeIII.npy,case_by_case,时间点在实际burst前面,,2026-08-10T20:36:52+00:00
burst-SWISS-Landschlacht-04-26-2021-143800-143900-typeIII.npy,usable,,,2026-08-10T20:36:56+00:00
