epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0994,2.47601,7.06622,1.72211,0.72823,0.07176,0.0289,0.00853,3.15067,7.58013,1.40876,0.000474907,0.000474907,0.000474907
2,115.159,1.92435,2.7489,1.30526,0.75579,0.10638,0.05696,0.01787,2.96251,4.0005,1.0413,0.000857068,0.000857068,0.000857068
3,170.546,1.66593,2.55127,1.23177,0.72407,0.06856,0.02724,0.00886,3.0567,3.69412,1.04609,0.00114491,0.00114491,0.00114491
4,225.524,1.40402,2.31523,1.1716,0.55884,0.15726,0.11568,0.03914,3.07903,2.63811,1.16728,0.00100459,0.00100459,0.00100459
5,280.406,1.19993,2.13121,1.12239,0.47442,0.18676,0.1577,0.03235,3.13309,2.5451,1.07603,0.000863116,0.000863116,0.000863116
6,335.461,1.06382,1.98387,1.09032,0.51532,0.16312,0.09118,0.03583,3.38311,2.64824,1.20719,0.000721645,0.000721645,0.000721645
7,390.47,0.97994,1.88583,1.07091,0.51968,0.1773,0.1356,0.04986,3.1846,2.75899,1.20012,0.000580174,0.000580174,0.000580174
8,445.352,0.90449,1.8395,1.05809,0.57868,0.14657,0.11877,0.04758,3.1941,2.69169,1.20307,0.000438703,0.000438703,0.000438703
9,500.252,0.82486,1.70383,1.03448,0.75181,0.12566,0.17759,0.04931,3.21286,2.95572,1.21271,0.000297232,0.000297232,0.000297232
10,555.395,0.73576,1.65181,1.01775,0.45629,0.3026,0.13252,0.05034,3.23045,2.67149,1.19202,0.000155761,0.000155761,0.000155761
