file_name,type,c0,c1,n_hot,retention
own-PeachMountian-240330-74.npy,III,227,473,17,0.8910561800003052
own-SkylineHighSchool-240417-80.npy,V,2076,3004,243668,0.11613459885120392
own-MarquetteSeniorHig-240419-64.npy,III,3430,3700,85107,0.03234824538230896
own-MarquetteSeniorHig-240419-64.npy,III,8331,9001,161918,0.06095924228429794
own-MarquetteSeniorHig-240419-65.npy,III,7230,8690,231183,0.05894900858402252
own-MarquetteSeniorHig-240419-66.npy,III,1350,6470,648672,0.05782921984791756
own-MarquetteSeniorHig-240419-67.npy,III,2120,5120,132057,0.08354541659355164
own-MarquetteSeniorHig-240419-67.npy,III,8681,8991,106400,0.03662232309579849
own-MarquetteSeniorHig-240419-68.npy,III,6220,9000,282048,0.10124948620796204
own-MarquetteSeniorHig-240419-69.npy,III,7480,9000,186963,0.09852898120880127
own-MarquetteSeniorHig-240419-72.npy,III,1170,4380,350622,0.1112000048160553
own-MarquetteSeniorHig-240419-75.npy,III,1070,3790,150911,0.1288621872663498
own-MarquetteSeniorHig-240419-76.npy,III,5700,5960,65064,0.032588668167591095
own-MarquetteSeniorHig-240419-77.npy,III,3800,5754,35504,0.051674455404281616
own-SkylineHighSchool-240420-62.npy,III,8530,8979,151414,0.041263848543167114
own-SkylineHighSchool-240420-65.npy,III,3561,3711,50816,0.023840731009840965
own-PeachMountian-240420-65.npy,III,45,730,78560,0.15564711391925812
own-PeachMountian-240420-66.npy,V,2519,3631,2766,0.8808254599571228
own-PeachMountian-240420-70.npy,III,3000,3393,4221,0.5436127781867981
own-PeachMountian-240420-71.npy,III,4966,5015,4174,0.21914157271385193
own-SkylineHighSchool-240422-65.npy,III,5720,6627,218133,0.07315301150083542
own-SkylineHighSchool-240422-69.npy,III,7890,8619,10398,0.1690371036529541
own-MarquetteSeniorHig-240422-63.npy,III,100,1247,455956,0.026154810562729836
own-MarquetteSeniorHig-240422-65.npy,III,7305,8153,307243,0.04551974684000015
own-MarquetteSeniorHig-240422-70.npy,III,1627,2395,89982,0.17223621904850006
own-SkylineHighSchool-240423-71.npy,II,4288,7486,323643,0.17838838696479797
own-SkylineHighSchool-240425-68.npy,II,6914,8242,401315,0.08116715401411057
own-SkylineHighSchool-240501-67.npy,III,7927,8974,83442,0.1303783655166626
own-SkylineHighSchool-240501-72.npy,III,7877,8974,154896,0.0976523607969284
own-SkylineHighSchool-240503-75.npy,II,4893,5372,26126,0.5659841895103455
own-SkylineHighSchool-240503-82.npy,II,5841,7000,57274,0.23662717640399933
own-SkylineHighSchool-240504-64.npy,III,1439,1539,34102,0.024981366470456123
own-SkylineHighSchool-240508-67.npy,III,6204,6394,47318,0.0366092175245285
own-SkylineHighSchool-240508-72.npy,III,6115,6185,21682,0.01968790777027607
own-SkylineHighSchool-240508-74.npy,III,2031,2300,104026,0.011905149556696415
own-SkylineHighSchool-240509-70.npy,III,2069,2725,154806,0.040683381259441376
own-Huron-240514-51.npy,III,1121,1701,232617,0.04408664256334305
own-SkylineHighSchool-240514-51.npy,III,390,1020,107934,0.13645349442958832
own-SkylineHighSchool-240514-67.npy,III,1100,1820,274669,0.01065872609615326
own-SkylineHighSchool-240514-67.npy,II,2930,4799,22285,0.19917981326580048
own-SkylineHighSchool-240514-68.npy,II,4210,5199,52133,0.20967772603034973
own-SkylineHighSchool-240519-69.npy,III,2137,2803,59588,0.1617010086774826
own-SkylineHighSchool-240519-71.npy,III,6013,7057,326975,0.08487188816070557
own-SkylineHighSchool-240607-65.npy,III,5113,5222,14316,0.09292479604482651
own-SkylineHighSchool-240607-75.npy,III,5986,6284,25599,0.28252482414245605
own-SkylineHighSchool-240608-84.npy,III,240,1358,147151,0.2114252895116806
own-SkylineHighSchool-240611-66.npy,III,5945,6104,29191,0.04349912330508232
own-SkylineHighSchool-240619-62.npy,III,5034,5283,60335,0.018474653363227844
own-SkylineHighSchool-240619-65.npy,III,2766,2945,49803,0.019117968156933784
own-SkylineHighSchool-240620-70.npy,III,90,250,30448,0.06482364982366562
own-SkylineHighSchool-240621-95.npy,II,5863,6757,127430,0.20077168941497803
own-SkylineHighSchool-240623-85.npy,III,6157,6277,38564,0.039671871811151505
own-SkylineHighSchool-240624-66.npy,III,2049,2199,24480,0.03861156105995178
own-SkylineHighSchool-240627-61.npy,III,1710,1870,35274,0.03561188653111458
own-SkylineHighSchool-240627-84.npy,III,2069,2199,47006,0.02011372335255146
own-SkylineHighSchool-240629-65.npy,III,8623,8763,25153,0.07816580682992935
own-SkylineHighSchool-240701-68.npy,III,7568,8096,38940,0.061536163091659546
own-SkylineHighSchool-240704-58.npy,II,3784,8939,122277,0.41202062368392944
own-SkylineHighSchool-240724-69.npy,III,249,2955,377415,0.12410817295312881
own-SkylineHighSchool-240725-62.npy,II,2316,3464,358752,0.05378411337733269
own-SkylineHighSchool-240725-67.npy,III,160,350,50360,0.03603637218475342
own-SkylineHighSchool-240726-69.npy,III,4681,4989,64157,0.08340867608785629
own-SkylineHighSchool-240726-86.npy,III,328,577,67468,0.016811538487672806
own-SkylineHighSchool-240728-72.npy,III,7508,7835,112856,0.014943158254027367
own-SkylineHighSchool-240729-69.npy,III,4929,5895,210936,0.12739352881908417
