id,file_name,conf,start_s,end_s,n_catalog_boxes,verdict,note
1,own-SkylineHighSchool-240504-64.npy,0.7614,8.9,178.6,1,y,
2,own-SkylineHighSchool-240420-65.npy,0.6245,348.2,556.9,1,y,
3,own-MarquetteSeniorHig-240419-69.npy,0.57,7.2,168.7,1,y,
4,own-MarquetteSeniorHig-240419-75.npy,0.5349,645.5,896.8,1,y,
5,own-PeachMountian-240420-66.npy,0.4647,527.3,872.1,1,y,
6,own-MarquetteSeniorHig-240419-64.npy,0.3997,92.8,418.1,2,y,
7,own-MarquetteSeniorHig-240419-65.npy,0.3591,9.0,65.5,1,y,
8,own-SkylineHighSchool-240619-65.npy,0.3323,92.8,353.7,1,y,
9,own-SkylineHighSchool-240627-84.npy,0.2787,861.0,900.0,1,n,
10,own-SkylineHighSchool-240726-69.npy,0.2663,785.7,890.0,1,n,
11,own-PeachMountian-240330-74.npy,0.2519,497.7,891.3,1,n,
12,own-SkylineHighSchool-240621-95.npy,0.2349,886.5,899.3,1,y,
13,own-PeachMountian-240420-71.npy,0.2226,475.4,761.1,1,y,
14,own-SkylineHighSchool-240611-66.npy,0.2019,886.5,899.5,1,n,
15,own-SkylineHighSchool-240420-65.npy,0.1937,116.2,133.3,1,y,
16,own-SkylineHighSchool-240514-67.npy,0.1924,472.7,488.7,2,y,
17,own-SkylineHighSchool-240508-72.npy,0.1909,501.5,877.3,1,y,
18,own-SkylineHighSchool-240704-58.npy,0.1667,387.7,402.6,1,y,
19,own-SkylineHighSchool-240704-58.npy,0.1617,281.8,395.1,1,y,
20,own-MarquetteSeniorHig-240419-76.npy,0.1546,210.6,225.4,1,y,
21,own-SkylineHighSchool-240724-69.npy,0.1507,838.3,900.0,1,y,
22,own-SkylineHighSchool-240508-74.npy,0.1469,229.0,411.6,1,y,
23,own-MarquetteSeniorHig-240419-72.npy,0.1423,770.7,892.0,1,n,
24,own-PeachMountian-240420-70.npy,0.1416,6.1,273.9,1,n,
25,own-SkylineHighSchool-240519-69.npy,0.1415,489.7,818.3,1,n,
26,own-SkylineHighSchool-240519-69.npy,0.1403,9.4,38.5,1,n,
27,own-SkylineHighSchool-240624-66.npy,0.1219,887.6,900.0,1,n,
28,own-SkylineHighSchool-240519-69.npy,0.1108,762.6,779.1,1,n,
29,own-PeachMountian-240420-71.npy,0.0895,721.9,890.0,1,n,
30,own-SkylineHighSchool-240726-86.npy,0.0858,338.2,642.9,1,n,
31,own-SkylineHighSchool-240619-62.npy,0.0793,887.2,899.5,1,n,
32,own-PeachMountian-240420-66.npy,0.0749,249.0,306.6,1,y,
33,own-SkylineHighSchool-240619-62.npy,0.073,20.2,126.8,1,n,
34,own-PeachMountian-240420-65.npy,0.0609,676.0,693.8,1,y,
35,own-SkylineHighSchool-240726-69.npy,0.0553,0.0,276.7,1,n,
